FFilename	Final_GC%
Alistipes_shahii_DA73_cds_from_genomic.fna	58.63
Alistipes_shahii_DA73_core_CDS.fna	61.47
Alistipes_shahii_DA73_genomic.fna	57.32
Alistipes_shahii_DA73_other_CDS.fna	56.74
As_AS73P1_cds_from_genomic.fna	47.22
As_AS73P1_genomic.fna	47.05
Bacteroides_intestinalis_APC919_cds_from_genomic.fna	43.5
Bacteroides_intestinalis_APC919_core_CDS.fna	44.56
Bacteroides_intestinalis_APC919_genomic.fna	42.54
Bacteroides_intestinalis_APC919_other_CDS.fna	42.65
Bacteroides_thetaiotaomicron_jmh43_cds_from_genomic.fna	44.53
Bacteroides_thetaiotaomicron_jmh43_core_CDS.fna	45.51
Bacteroides_thetaiotaomicron_jmh43_genomic.fna	43.47
Bacteroides_thetaiotaomicron_jmh43_Host_clean_CDS.fna	44.52
Bacteroides_thetaiotaomicron_jmh43_Host_clean_genomic.fna	43.4
Bacteroides_thetaiotaomicron_jmh43_other_CDS.fna	43.74
Bacteroides_thetaiotaomicron_VPI-5482_cds_from_genomic.fna	43.91
Bacteroides_thetaiotaomicron_VPI-5482_core_CDS.fna	45.38
Bacteroides_thetaiotaomicron_VPI-5482_genomic.fna	42.86
Bacteroides_thetaiotaomicron_VPI-5482_other_CDS.fna	42.81
Bacteroides_uniformis_ATCC_cds_from_genomic.fna	47.73
Bacteroides_uniformis_ATCC_core_CDS.fna	49.01
Bacteroides_uniformis_ATCC_genomic.fna	46.55
Bacteroides_uniformis_ATCC_other_CDS.fna	46.31
Bi_CrAss001_cds_from_genomic.fna	34.84
Bi_CrAss001_genomic.fna	34.74
Bt_jmh43_cds_from_genomic.fna	54.01
Bt_jmh43_genomic.fna	53.07
Bt_SJC01_cds_from_genomic.fna	47.08
Bt_SJC01_genomic.fna	46.14
Bu_EMB1_cds_from_genomic.fna	46.77
Bu_EMB1_genomic.fna	45.54
Ec_lamda_cds_from_genomic.fna	50.93
Ec_lamda_genomic.fna	49.86
Ec_T4_cds_from_genomic.fna	35.43
Ec_T4_genomic.fna	35.3
Escherichia_coli_BL21_cds_from_genomic.fna	51.8
Escherichia_coli_BL21_core_CDS.fna	53.06
Escherichia_coli_BL21_genomic.fna	50.8
Escherichia_coli_BL21_other_CDS.fna	51.51
Escherichia_coli_MG1655_cds_from_genomic.fna	51.9
Escherichia_coli_MG1655_core_CDS.fna	53.08
Escherichia_coli_MG1655_genomic.fna	50.79
Escherichia_coli_MG1655_other_CDS.fna	51.61
Pad_PD491P1_cds_from_genomic.fna	43.94
Pad_PD491P1_genomic.fna	43.83
Parabacteroides_distasonis_DA491_cds_from_genomic.fna	46.26
Parabacteroides_distasonis_DA491_core_CDS.fna	47.25
Parabacteroides_distasonis_DA491_genomic.fna	45.3
Parabacteroides_distasonis_DA491_other_CDS.fna	45.57
Pd_p00_cds_from_genomic.fna	54.43
Pd_p00_genomic.fna	53.04
Phocaeicola_dorei_HM719_cds_from_genomic.fna	43.08
Phocaeicola_dorei_HM719_core_CDS.fna	43.06
Phocaeicola_dorei_HM719_genomic.fna	41.75
Phocaeicola_dorei_HM719_Host_clean_CDS.fna	43
Phocaeicola_dorei_HM719_Host_clean_genomic.fna	41.67
Phocaeicola_dorei_HM719_other_CDS.fna	43.11
Phocaeicola_vulgatus_ATCC_cds_from_genomic.fna	43.18
Phocaeicola_vulgatus_ATCC_core_CDS.fna	43.78
Phocaeicola_vulgatus_ATCC_genomic.fna	42.2
Phocaeicola_vulgatus_ATCC_Host_clean_CDS.fna	43.19
Phocaeicola_vulgatus_ATCC_Host_clean_genomic.fna	42.21
Phocaeicola_vulgatus_ATCC_other_CDS.fna	42.64
Pv_BV01_cds_from_genomic.fna	42.29
Pv_PV01_genomic.fna	41.88
